title,dropdown,link,metadata
TEC2003-4 and TEC2003-4+PIR Multi-Stage Wireless Thermostat Controller Installation Guide,,/viewer/document/8P8mPQPFV5d1mHPP9uvx8w,"Product code: TEC2003-4+PIRG, TEC2003-4, TEC2003-4+PIR, TEC2003-4G,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC2003-4/+PIR Wireless Thermostat Controller,Document Type: Installation Guide,Part Number: 24-9890-1141"
TEC2004-4 and TEC2004-4+PIR Multi-Stage Economizer Wireless Thermostat Controller Installation Guide,,/viewer/document/mCb36HwUJ_fVEMLV73Waaw,"Product code: TEC2004-4+PIR, TEC2004-4+PIRG, TEC2004-4G, TEC2004-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC2004-4/+PIR Wireless Thermostat Controller,Document Type: Installation Guide,Part Number: 24-9890-1168"
TEC200x-4 and TEC200x-4+PIR Series Wireless Thermostat Controller System for Staged Equipment Product Bulletin,,/viewer/document/yWquNZ4Dur21qvahV0BoCA,"Product code: TEC2001-4, TEC2003-4, TEC2002-4G, TEC2003-4G, TEC2004-4+PIR, TEC2004-4+PIRG, TEC2002-4, TEC2001-4G, TEC2002-4+PIRG, TEC2003-4+PIR, TEC2002-4+PIR, TEC2004-4G, TEC2004-4, TEC2003-4+PIRG, TEC2001-4+PIRG, TEC2001-4+PIR,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC200x-4/+PIR Wireless Thermostat Controller,Document Type: Product Bulletin,Document Number: LIT-12011590"
TEC2045-4 Wireless Thermostat Controller with Single Proportional Output and One-Speed Fan Control Installation Guide,,/viewer/document/xD2b9sy9x7pxB1yZ1Mw4Ww,"Product code: TEC2045-4G, TEC2045-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC2045-4 Wireless Thermostat Controller,Document Type: Installation Guide,Part Number: 24-9890-1109"
TEC20x7-4 Series Wireless Thermostat Controllers with Two Outputs Installation Guide,,/viewer/document/LA3gpRlcACKJ5oVe2XlW7A,"Product code: TEC2047-4, TEC2027-4G, TEC2027-4, TEC2047-4G,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC20x7-4 Wireless Thermostat Controller,Document Type: Installation Guide,Part Number: 24-9890-1117"
TEC20xx-4 and TEC20xx-4+PIR Series Wireless Thermostat Controller System for Fan Coil and Zoning Equipment Catalog Page,,/viewer/document/Wsy24hwwJYhcbXkBJJDW_Q,"Product code: TEC2026H-4G, TEC2056H-4, TEC2027-4G, TEC2026H-4, TEC2045-4G, TEC2016H-4+PIRG, TEC2016H-4+PIR, TEC2046H-4, TEC2046H-4+PIRG, TEC2027-4, TEC2045-4, TEC2026-4G, TEC2036H-4G, TEC2036H-4+PIR, TEC2056-4, TEC2026-4, TEC2016-4, TEC2056H-4+PIRG, TEC2026H-4+PIR, TEC2046-4, TEC2046-4G, TEC2056H-4+PIR, TEC2036H-4+PIRG, TEC2056H-4G, TEC2036-4, TEC2016-4G, TEC2026H-4+PIRG, TEC2016H-4G, TEC2047-4G, TEC2046H-4G, TEC2056-4G, TEC2036-4G, TEC2036H-4, TEC2046H-4+PIR, TEC2047-4, TEC2016H-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC20xx-4/+PIR Wireless Thermostat Controller,Document Type: Catalog Page,Document Number: LIT-1900624"
TEC20xx-4 and TEC20xx-4+PIR Series Wireless Thermostat Controller System for Fan Coil and Zoning Equipment Product Bulletin,,/viewer/document/rlndGS4sJDgNDWAlXK92cA,"Product code: TEC2026H-4G, TEC2056H-4, TEC2027-4G, TEC2026H-4, TEC2045-4G, TEC2016H-4+PIRG, TEC2016H-4+PIR, TEC2046H-4, TEC2046H-4+PIRG, TEC2027-4, TEC2045-4, TEC2026-4G, TEC2036H-4G, TEC2036H-4+PIR, TEC2056-4, TEC2026-4, TEC2016-4, TEC2056H-4+PIRG, TEC2026H-4+PIR, TEC2046-4, TEC2046-4G, TEC2056H-4+PIR, TEC2036H-4+PIRG, TEC2056H-4G, TEC2036-4, TEC2016-4G, TEC2026H-4+PIRG, TEC2016H-4G, TEC2047-4G, TEC2046H-4G, TEC2056-4G, TEC2036-4G, TEC2036H-4, TEC2046H-4+PIR, TEC2047-4, TEC2016H-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC20xx-4/+PIR Wireless Thermostat Controller,Document Type: Product Bulletin,Document Number: LIT-12011593"
YS Style E Millennium Models YS BA CB S0 thru YS FA FB S5,,/viewer/document/UHBQ5UOXe78RP0Oo_VT2rg,"Business: Chillers,Brand: YORK,Category: Screw Water Cooled,Product: YS,Document Revision: 710,Document Type: Part List,Document Number: 160.80-RP1"
"Audible Notification Appliances, Metal Grill Speakers for Canadian Fire Alarm Applications",,/viewer/document/3Wi8KyPRAr9g5SBE2dRGpg,"Brand: Simplex,Category: Notification Appliances and Speakers,Product: Audible Notification Appliances, Metal Grill Speakers for Canadian Fire Alarm Applications,Document Revision: 5,Document Type: Datasheet,Document Number: S12902-0005"
SD-1620 Smoke Dampers Catalog Page,,/viewer/document/L4HsRgRxeXBulspAUqv~Vw,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Fire and Smoke Safety Damper,Product: SD-1620 Smoke Damper,Document Type: Catalog Page,Document Number: LIT-1900639"
TEC2604-4 and TEC2604-4+PIR BACnet MS/TP Networked Multi-Stage Economizer Thermostat Controllers Installation Guide,,/viewer/document/TNwHKZSv8uaL_xLAFcMc6Q,"Product code: TEC2604-4, TEC2604-4+PIR,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Network Thermostat,Product: TEC26 BACnet MS/TP Network Thermostat,Document Revision: B,Document Type: Installation Guide,Part Number: 24-9890-1079"
TEC26x6(H)-4 and TEC26x6(H)-4+PIR Series BACnet® MS/TP Networked Thermostat Controllers with Dehumidification Capability Fan Control and Occupancy Sensing Capability Installation Guide,,/viewer/document/4jBmqOyT9YOYNuX3DwhwMg,"Product code: TEC2646H-4, TEC2646-4, TEC2626-4, TEC2656H-4, TEC2636H-4, TEC2656-4, TEC2616H-4+PIR, TEC2626H-4, TEC2656H-4+PIR, TEC2616-4, TEC2626H-4+PIR, TEC2646H-4+PIR, TEC2636H-4+PIR, TEC2636-4, TEC2616H-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Network Thermostat,Product: TEC26 BACnet MS/TP Network Thermostat,Document Type: Installation Guide,Part Number: 24-9890-1001"
"YCWL0056SE, 0064SE, 0074SE, 0084SE, 0094SE, 0104SE, 0118SE, 0132SE, 0156SE, 0157SE, 0177SE, 0198SE (Standard Efficiency) - 0064HE, 0074HE, 0084HE, 0094HE, 0096HE, 0118HE, 0126HE, 0127HE, 0156HE,",,/viewer/document/L0Km3r2o2X5zNqVPwflRLg,"Business: Chillers,Brand: YORK,Category: Scroll Water Cooled,Product: YCWL,Document Revision: 610,Document Type: Engineering Guide,Document Number: 201.26-EG1"
Facility Explorer Network Room Modules Installation Guide,,/viewer/document/tnwSf4FqxMJt43uQP8ffZA,"Product code: LP-NRM001-000C, LP-NRM511-000C, LP-NRM052-000C, LP-NRM153-000C, LP-NRM502-000C, LP-NRM002-000C, LP-NRM503-000C, LP-NRM003-000C, LP-NRM553-000C, LP-NRM611-000C, LP-NRM152-000C, LP-NRM653-000C, LP-NRM101-000C, LP-NRM552-000C, LP-NRM652-000C, LP-NRM053-000C,Business: Building Automation and Controls,Brand: Facility Explorer,Category: Field Device,Product: FX Network Room Module,Document Type: Installation Guide,Part Number: 24-85638-1214"
T125 Series FCU Thermostat Installation Instructions,,/viewer/document/yYz_UxxW2Y4KD2GYcRnneQ,"Business: Building Automation and Controls APAC,Brand: Johnson Controls,Category: Fan Coil Thermostat,Product: T125 Thermostat,Document Type: Installation Guide"
YIA Style D Single Stage Steam-Hot Water with OptiView Control Center,,/viewer/document/HGncVQasi4XGipyJhYyi1Q,"Business: Chillers,Brand: YORK,Category: Absorption,Product: YIA,Document Revision: 510,Document Type: Operation Guide,Document Number: 155.21-OM1"
TEC20xx-4 and TEC20xx-4+PIR Series Wireless Thermostat Controller System Technical Bulletin,,/viewer/document/tQSFXWlJSCuCHSYsudeKbA,"Product code: TEC2001-4, TEC2003-4, TEC2026H-4G, TEC2056H-4, TEC2003-4+PIR, TEC2027-4G, TEC2002-4+PIRG, TEC2026H-4, TEC2002-4+PIR, TEC2045-4G, TEC2016H-4+PIRG, TEC2001-4+PIR, TEC2016H-4+PIR, TEC2046H-4, TEC2046H-4+PIRG, TEC2002-4, TEC2001-4G, TEC2027-4, TEC2045-4, TEC2026-4G, TEC2036H-4G, TEC2036H-4+PIR, TEC2001-4+PIRG, TEC2026-4, TEC2016-4, TEC2056-4, TEC2056H-4+PIRG, TEC2003-4G, TEC2026H-4+PIR, TEC2046-4, TEC2004-4+PIRG, TEC2046-4G, TEC2056H-4+PIR, TEC2036H-4+PIRG, TEC2056H-4G, TEC2004-4G, TEC2004-4, TEC2016-4G, TEC2036-4, TEC2026H-4+PIRG, TEC2016H-4G, TEC2002-4G, TEC2047-4G, TEC2046H-4G, TEC2056-4G, TEC2036-4G, TEC2004-4+PIR, TEC2036H-4, TEC2046H-4+PIR, TEC2003-4+PIRG, TEC2047-4, TEC2016H-4,Business: Building Automation and Controls,Brand: Johnson Controls,Category: Wireless Thermostat,Product: TEC20xx-4/+PIR Wireless Thermostat Controller,Document Type: Technical Bulletin,Document Number: LIT-12011596"
FX07 Standard Control Panel Assembly Mounted in a 10 in. x 13 in. Enclosure Catalog Page,,/viewer/document/BGnUulBU0megjgIa8EDEGw,"Product code: PASH00004HC0, PASD00004HC2, PASC00004HC0, PASN00004HC2, PASM00004HC2, PASP00004HC0, PASK00004HC2, PASF00004HC2, PASE00004HC2, PASA00004HC0, PASG00004HC0, PASJ00004HC0, PASB00004HC0, PASL00004HC2,Business: Building Automation and Controls,Brand: Facility Explorer,Category: Control Panel,Product: FX Standard Control Panel,Document Type: Catalog Page,Document Number: LIT-1900485"
"YCAV and YCIV VSD Capacitor Bank Does Not Discharge, Drives and Starters",,/viewer/document/Zi6ySo7KW9x0_Sb~dNd3Gg,"Business: Chillers,Brand: YORK,Category: Screw Air Cooled,Product: YCAV, YCIV,Document Revision: 510,Document Type: Service Information Letter,Document Number: SI0223"
Zone Adapter Modules (ZAMs) Addressable Interface to Conventional Circuits,,/viewer/document/OA5u8tYQxqmYwt9VRcMdtQ,"Brand: Simplex,Category: Sensors and Initiating Devices,Product: Zone Adapter Module,Document Revision: 15,Document Type: Datasheet,Document Number: S2190-0012"
"System 450 Series Control Modules with Relay Outputs Installation Guide (C450CBN-1, C450CCN-1)",,/viewer/document/OaVBItdC366d1Y6vFMcwHA,"Product code: C450CBN-1C, C450CCN-1C, C450CCN, C450CBN,Business: Building Automation and Controls,Brand: PENN Controls,Category: System 450 Multi-Purpose Modular Control System,Product: C450CBN Standard Control Module One Relay Output, C450CCN Standard Control Module Two Relay Outputs,Series: System 450 Series,Document Revision: G,Document Type: Installation Guide,Part Number: 24-7664-2675"
